headword,pos,cefr,tier,tier_name,amirnet_level,is_connector,source
afterward,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
afterwards,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
against,preposition,A2,1,ליבה,1-2,true,CEFR-J v1.5
aged,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
ageless,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
agency,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
agenda,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
agent,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
aggressive,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aggressively,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
agonize/agonise,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
agony,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
agreement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
agricultural,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
agriculture,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ahead,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
aid,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aim,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
air,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
air conditioning,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
air force,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aircraft,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aircrew,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
airline,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aisle,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
alarm,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
alarm clock,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
alcohol,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alcoholic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alcoholism,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alert,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alike,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alive,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
allegation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
allergic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alliance,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
allow,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
allowance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ally,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alongside,preposition,B2,3,הרחבה אקדמית,3,true,CEFR-J v1.5
aloud,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alphabet,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alphabetical,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alright,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
altar,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alter,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alternate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
alternative,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
alternatively,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
although,conjunction,A2,1,ליבה,1-2,true,CEFR-J v1.5
altitude,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
altogether,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aluminum/aluminium,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amaze,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amazed,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
amazement,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amazing,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
amazingly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ambassador,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ambiguity,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ambiguous,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ambition,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
ambitious,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ambulance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ammonia,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
among,preposition,A2,1,ליבה,1-2,true,CEFR-J v1.5
amongst,preposition,B2,3,הרחבה אקדמית,3,true,CEFR-J v1.5
amount,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ample,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amplifier,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amplify,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amuse,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
amused,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
amusement,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
amusing,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
analogy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
analysis,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
analyst,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
analyze/analyse,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ancestor,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
anchor,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
anchorage,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
anchorman,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
anchorperson,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ancient,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
angel,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
anger,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
angle,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
angrily,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
anguish,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
animate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
animated,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
animation,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ankle,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
anniversary,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
announce,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
announcement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
annoy,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
annoyance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
annoyed,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
annoying,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
annual,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
annually,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
anonymous,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ant,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
anti,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
antiaircraft,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
antibacterial,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
anticancer,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
anticipate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
anticipation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
antipollution,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
antique,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
antistatic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
antivirus,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
antonym,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
anxiety,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
anxious,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
anxiously,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
anyhow,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
anymore,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
anyway,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
anywhere,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
apart,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
apartment,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
ape,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
apologize/apologise,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
apology,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
apostrophe,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
apparent,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
apparently,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
appeal,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
appear,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
appearance,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
appetite,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
applaud,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
applause,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
applicant,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
application,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
apply,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
appoint,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
appointment,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
appreciate,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
appreciation,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
appreciative,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
approach,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
appropriate,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
appropriately,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
approval,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
approve,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
approximate,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
approximately,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
arch,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
archaeologist/archeologist,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
architect,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
architecture,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
arctic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
area,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
arena,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
argue,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
argument,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
arise,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aristocracy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
arithmetic,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
armchair,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
armed,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
armful,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
army,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
arouse,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
arrange,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
arrangement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
arrest,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
arrival,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
arrogant,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
arrow,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
artery,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
articulate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
artificial,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
artificially,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
artist,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
artistic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
artistry,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ash,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ashamed,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aside,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
asleep,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
aspect,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
aspiration,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aspire,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aspirin,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
assault,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assemble,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assembly,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assert,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assess,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assessment,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assign,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
assignment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
assist,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
assistance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
assistant,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
associate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
association,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
assume,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
assumption,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assurance,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
assure,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
astonish,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
astonished,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
astonishing,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
astonishment,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
astronaut,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
astronomer,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
astronomy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
athlete,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
athletic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
athletics,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
Atlantic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
atmosphere,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
atom,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
atomic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attach,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attached,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attachment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attack,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
attain,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attainable,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attainment,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attempt,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
attend,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attendance,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attention,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
attentive,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attentively,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attitude,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
attract,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attraction,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
attractive,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
attractiveness,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
attribute,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
atypical,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
aubergine,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
audience,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
audio,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
audit,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
audition,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
author,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
authoritative,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
authority,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
authorize/authorise,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
automatic,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
